brand,screen_name,urban,age18_24,age25_34,age35_44,age45_54,age55_64,age65plus,male,female,high_school_grad,university_grad,master_deg,doctorate_deg,professional_deg
7-Eleven,7eleven,0.375816327,0.133204082,0.318122449,0.217020408,0.144755102,0.095632653,0.093061224,0.448979592,0.530612245,0.211548034,0.385764062,0.034843206,0.00273768,0.004355401
Abercrombie & Fitch,Abercrombie,0.348258706,0.109452736,0.333333333,0.23880597,0.139303483,0.086721393,0.08779602,0.248756219,0.736318408,0.17056357,0.331651387,0.0307962,0.001658257,0.002203113
Abercrombie kids,abercrombiekids,0.34328,0.06264,0.32516,0.3163,0.14634,0.07776,0.0636,0.18678,0.78,0.201161344,0.394027375,0.037328909,0.002073828,0.00290336
Academy Sports + Outdoors,Academy,0.263157895,0.047631579,0.194736842,0.231578947,0.194736842,0.173684211,0.157894737,0.494736842,0.505263158,0.255610654,0.408977046,0.033229385,0.001865958,0.003067328
Ace Hardware,AceHardware,0.285714286,0.024503968,0.170634921,0.214285714,0.206349206,0.19047619,0.198412698,0.492063492,0.51984127,0.253365004,0.380047506,0.033254157,0.00253365,0.004117181
adidas,adidasUS,0.398198198,0.106306306,0.320720721,0.255855856,0.153153153,0.09009009,0.07027027,0.437837838,0.547747748,0.187648555,0.366957174,0.03252575,0.002376882,0.003461073
Aeropostale,Aeropostale,0.344827586,0.109494253,0.298850575,0.236816092,0.169367816,0.105149425,0.078896552,0.252873563,0.724137931,0.212077241,0.312534881,0.017859136,0.000558098,0.000725527
Albertsons,Albertsons,0.385542169,0.055879518,0.205144578,0.223987952,0.181481928,0.154554217,0.183843373,0.34939759,0.65060241,0.236464449,0.3506197,0.027723418,0.001793868,0.002527723
Aldi,AldiUSA,0.285714286,0.029952381,0.17989418,0.195767196,0.174603175,0.17989418,0.238095238,0.232804233,0.761904762,0.246662797,0.391758561,0.039175856,0.002031341,0.002901915
Amazon Fresh,AmazonFresh,0.338888889,0.041922222,0.227777778,0.233333333,0.177777778,0.144444444,0.177777778,0.288888889,0.711111111,0.175175175,0.4004004,0.048048048,0.005005005,0.005005005
america's funniest home videos,AFVofficial,0.256242424,0.053212121,0.167606061,0.189424242,0.192333333,0.208,0.197121212,0.497212121,0.511272727,0.236446546,0.33778078,0.025333559,0.001520014,0.00228002
America's Got Talent,AGT,0.26459144,0.047848249,0.206225681,0.20233463,0.182879377,0.178988327,0.175097276,0.408560311,0.575875486,0.244498778,0.361432975,0.030828107,0.001913469,0.002870203
American Eagle,AEO,0.334558824,0.106617647,0.305147059,0.242647059,0.143382353,0.102941176,0.106617647,0.194852941,0.808823529,0.176030512,0.381399443,0.033739181,0.001906997,0.002493766
American Girl,American_Girl,0.2561,0.0417,0.233966667,0.268433333,0.1666,0.138466667,0.135433333,0.2062,0.8,0.205991407,0.441410158,0.058854688,0.004178683,0.005885469
American Greetings,amgreetings,0.252101835,0.0214328,0.110242747,0.155950266,0.201539372,0.252812315,0.253049142,0.158200118,0.842510361,0.254065041,0.365853659,0.034552846,0.001626016,0.002743902
American Idol,AmericanIdol,0.26,0.06029,0.22,0.215,0.185,0.175,0.16,0.325,0.675,0.232102331,0.37652156,0.031978543,0.002217867,0.003352589
Anthropologie,Anthropologie,0.343324251,0.0626703,0.258855586,0.247956403,0.177111717,0.136239782,0.117166213,0.160762943,0.828337875,0.115575124,0.458631444,0.077050083,0.006787745,0.008255366
Antiques Roadshow,RoadshowPBS,0.23579661,0.012610169,0.078508475,0.123915254,0.175322034,0.262576271,0.344677966,0.372881356,0.593220339,0.259677027,0.397630447,0.038140063,0.003164814,0.003976304
Applebee's,Applebees,0.325,0.082358333,0.233333333,0.2,0.155675,0.149575,0.183333333,0.341666667,0.65,0.262467192,0.363416111,0.024227741,0.001049869,0.001776701
Arby's,Arbys,0.324022346,0.111675978,0.329608939,0.25698324,0.156424581,0.076145251,0.076988827,0.536312849,0.463687151,0.257274435,0.334456765,0.020581955,0.001260645,0.001800921
